medium	description	compound	name
CDM35_lcts	CDM35_lcts	cl	cl
CDM35_lcts	CDM35_lcts	thm	thm
CDM35_lcts	CDM35_lcts	iodine	iodine
CDM35_lcts	CDM35_lcts	arg__L	arg__L
CDM35_lcts	CDM35_lcts	asn__L	asn__L
CDM35_lcts	CDM35_lcts	ca2	ca2
CDM35_lcts	CDM35_lcts	cobalt2	cobalt2
CDM35_lcts	CDM35_lcts	cu2	cu2
CDM35_lcts	CDM35_lcts	fe2	fe2
CDM35_lcts	CDM35_lcts	fe3	fe3
CDM35_lcts	CDM35_lcts	his__L	his__L
CDM35_lcts	CDM35_lcts	ile__L	ile__L
CDM35_lcts	CDM35_lcts	leu__L	leu__L
CDM35_lcts	CDM35_lcts	met__L	met__L
CDM35_lcts	CDM35_lcts	k	k
CDM35_lcts	CDM35_lcts	mg2	mg2
CDM35_lcts	CDM35_lcts	mn2	mn2
CDM35_lcts	CDM35_lcts	pi	pi
CDM35_lcts	CDM35_lcts	tyr__L	tyr__L
CDM35_lcts	CDM35_lcts	val__L	val__L
CDM35_lcts	CDM35_lcts	zn2	zn2
CDM35_lcts	CDM35_lcts	so4	so4
CDM35_lcts	CDM35_lcts	feenter	feenter
CDM35_lcts	CDM35_lcts	lcts	lcts
CDM35_lcts	CDM35_lcts	ala__L	ala__L
CDM35_lcts	CDM35_lcts	asp__L	asp__L
CDM35_lcts	CDM35_lcts	gly	gly
CDM35_lcts	CDM35_lcts	o2	o2
CDM35_lcts	CDM35_lcts	h2o	h2o
CDM35_lcts	CDM35_lcts	orn	orn
CDM35_lcts	CDM35_lcts	nh4	nh4
CDM35_lcts	CDM35_lcts	co2	co2
CDM35_lcts	CDM35_lcts	h	h
CDM35_gal	CDM35_gal	cl	cl
CDM35_gal	CDM35_gal	thm	thm
CDM35_gal	CDM35_gal	iodine	iodine
CDM35_gal	CDM35_gal	arg__L	arg__L
CDM35_gal	CDM35_gal	asn__L	asn__L
CDM35_gal	CDM35_gal	ca2	ca2
CDM35_gal	CDM35_gal	cobalt2	cobalt2
CDM35_gal	CDM35_gal	cu2	cu2
CDM35_gal	CDM35_gal	fe2	fe2
CDM35_gal	CDM35_gal	fe3	fe3
CDM35_gal	CDM35_gal	his__L	his__L
CDM35_gal	CDM35_gal	ile__L	ile__L
CDM35_gal	CDM35_gal	leu__L	leu__L
CDM35_gal	CDM35_gal	met__L	met__L
CDM35_gal	CDM35_gal	k	k
CDM35_gal	CDM35_gal	mg2	mg2
CDM35_gal	CDM35_gal	mn2	mn2
CDM35_gal	CDM35_gal	pi	pi
CDM35_gal	CDM35_gal	tyr__L	tyr__L
CDM35_gal	CDM35_gal	val__L	val__L
CDM35_gal	CDM35_gal	zn2	zn2
CDM35_gal	CDM35_gal	so4	so4
CDM35_gal	CDM35_gal	feenter	feenter
CDM35_gal	CDM35_gal	gal	gal
CDM35_gal	CDM35_gal	ala__L	ala__L
CDM35_gal	CDM35_gal	asp__L	asp__L
CDM35_gal	CDM35_gal	gly	gly
CDM35_gal	CDM35_gal	o2	o2
CDM35_gal	CDM35_gal	h2o	h2o
CDM35_gal	CDM35_gal	orn	orn
CDM35_gal	CDM35_gal	nh4	nh4
CDM35_gal	CDM35_gal	co2	co2
CDM35_gal	CDM35_gal	h	h
CDM35_glc	CDM35_glc	cl	cl
CDM35_glc	CDM35_glc	thm	thm
CDM35_glc	CDM35_glc	iodine	iodine
CDM35_glc	CDM35_glc	arg__L	arg__L
CDM35_glc	CDM35_glc	asn__L	asn__L
CDM35_glc	CDM35_glc	ca2	ca2
CDM35_glc	CDM35_glc	cobalt2	cobalt2
CDM35_glc	CDM35_glc	cu2	cu2
CDM35_glc	CDM35_glc	fe2	fe2
CDM35_glc	CDM35_glc	fe3	fe3
CDM35_glc	CDM35_glc	his__L	his__L
CDM35_glc	CDM35_glc	ile__L	ile__L
CDM35_glc	CDM35_glc	leu__L	leu__L
CDM35_glc	CDM35_glc	met__L	met__L
CDM35_glc	CDM35_glc	k	k
CDM35_glc	CDM35_glc	mg2	mg2
CDM35_glc	CDM35_glc	mn2	mn2
CDM35_glc	CDM35_glc	pi	pi
CDM35_glc	CDM35_glc	tyr__L	tyr__L
CDM35_glc	CDM35_glc	val__L	val__L
CDM35_glc	CDM35_glc	zn2	zn2
CDM35_glc	CDM35_glc	so4	so4
CDM35_glc	CDM35_glc	feenter	feenter
CDM35_glc	CDM35_glc	glc__D	glc__D
CDM35_glc	CDM35_glc	ala__L	ala__L
CDM35_glc	CDM35_glc	asp__L	asp__L
CDM35_glc	CDM35_glc	gly	gly
CDM35_glc	CDM35_glc	o2	o2
CDM35_glc	CDM35_glc	h2o	h2o
CDM35_glc	CDM35_glc	orn	orn
CDM35_glc	CDM35_glc	nh4	nh4
CDM35_glc	CDM35_glc	co2	co2
CDM35_glc	CDM35_glc	h	h
